,City,Clouds,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
0,Port Alfred,62,ZA,2019-09-30,85,-33.59,26.89,15.0,2.68
1,Misratah,0,LY,2019-09-30,60,32.38,15.09,24.95,1.87
2,Saint-Georges,45,CA,2019-09-30,49,46.12,-70.67,13.89,1.21
3,Qaanaaq,100,GL,2019-09-30,95,77.48,-69.36,0.25,4.58
4,Wanning,40,AT,2019-09-30,62,48.64,13.53,14.0,3.6
5,Tuktoyaktuk,75,CA,2019-09-30,93,69.44,-133.03,5.0,2.1
6,Kodiak,1,US,2019-09-30,58,39.95,-94.76,31.11,10.8
7,Hilo,75,US,2019-09-30,65,19.71,-155.08,28.0,2.1
8,Geelong,1,AU,2019-09-30,100,-38.15,144.36,5.56,1.5
9,Goksun,0,TR,2019-09-30,53,38.02,36.5,25.0,6.7
10,Puerto Ayora,20,EC,2019-09-30,57,-0.74,-90.35,27.0,9.3
11,Verkhnyaya Inta,76,RU,2019-09-30,92,65.99,60.32,3.25,3.1
12,Clyde River,75,CA,2019-09-30,100,70.47,-68.59,3.0,3.1
13,Tiksi,89,RU,2019-09-30,93,71.64,128.87,-5.25,4.93
14,Chuy,100,UY,2019-09-30,73,-33.69,-53.46,21.15,4.17
15,Warrnambool,0,AU,2019-09-30,95,-38.38,142.48,3.33,5.82
16,Namibe,99,AO,2019-09-30,83,-15.19,12.15,18.15,2.92
17,Castro,75,CL,2019-09-30,70,-42.48,-73.76,7.0,6.2
18,Rikitea,100,PF,2019-09-30,74,-23.12,-134.97,20.65,6.6
19,Saldanha,0,PT,2019-09-30,71,41.42,-6.55,19.25,1.42
20,Nome,40,US,2019-09-30,59,30.04,-94.42,33.33,5.7
21,Busselton,49,AU,2019-09-30,75,-33.64,115.35,12.22,3.89
22,Basco,1,US,2019-09-30,58,40.33,-91.2,32.22,6.2
23,Oranjestad,20,AW,2019-09-30,79,12.52,-70.03,30.0,7.2
24,Bhadasar,100,IN,2019-09-30,50,28.3,74.31,29.55,3.12
